,ID,Conversion
500,3252,0
501,3126,0
502,3725,0
503,3485,0
504,2361,0
505,3214,0
506,2850,0
507,3246,0
508,2276,0
509,3344,0
510,3642,0
511,2369,0
512,2165,1
513,3697,1
514,3549,0
515,2259,0
516,2944,1
517,3386,0
518,3536,0
519,3771,0
520,2870,0
521,3500,0
522,2000,1
523,3274,1
524,3041,0
525,3541,0
526,3928,0
527,3283,1
528,3500,0
529,3085,0
530,2290,0
531,2912,1
532,2435,0
533,2647,0
534,2857,0
535,2686,0
536,3297,0
537,3968,0
538,3876,0
539,3855,0
540,2137,0
541,2433,1
542,3554,0
543,3373,0
544,2557,0
545,2811,0
546,2864,1
547,3182,1
548,2857,0
549,2395,0
550,2315,0
551,3804,1
552,3401,0
553,2721,0
554,3814,0
555,3708,0
556,3107,0
557,3299,1
558,3730,0
559,3369,0
560,2753,0
561,2061,0
562,2911,1
563,3532,0
564,3556,1
565,3425,0
566,2699,0
567,3625,0
568,3738,0
569,3103,0
570,2671,0
571,3188,1
572,3841,0
573,3330,0
574,3674,0
575,3619,0
576,3857,1
577,2355,0
578,2982,0
579,3231,0
580,3543,0
581,3731,0
582,2152,0
583,2011,1
584,3088,0
585,2652,0
586,2757,1
587,3820,0
588,3087,0
589,3824,0
590,2829,0
591,3284,0
592,2907,0
593,2135,0
594,2790,0
595,2815,0
596,3658,0
597,2566,0
598,3611,0
599,3173,0
600,2291,1
601,2777,0
602,2942,1
603,2939,0
604,2797,0
605,2406,1
606,2938,0
607,2915,0
608,2790,1
609,3055,1
610,2639,0
611,2090,0
612,2212,1
613,2640,0
614,2521,0
615,3497,0
616,3992,0
617,2420,1
618,2883,0
619,2320,0
620,2737,0
621,2442,0
622,3522,1
623,2919,0
624,2205,0
625,2962,0
626,2760,0
627,3279,0
628,2614,0
629,2724,0
630,2413,0
631,2328,0
632,3732,0
633,3384,0
634,3514,1
635,3755,0
636,2892,0
637,3194,0
638,3435,0
639,2036,0
640,3200,0
641,2196,0
642,3713,0
643,3099,0
644,2489,0
645,2667,0
646,3328,0
647,3057,0
648,2083,1
649,3627,0
650,3428,1
651,3669,0
652,3083,0
653,2218,0
654,2609,0
655,2805,0
656,2403,0
657,3329,0
658,2863,0
659,3835,0
660,2947,1
661,2054,0
662,3080,0
663,3602,0
664,2271,0
665,2212,0
666,3184,0
667,3883,0
668,3392,0
669,3174,1
670,2085,0
671,2427,0
672,2046,0
673,2493,0
674,2427,0
675,2496,0
676,3745,0
677,3052,1
678,3296,0
679,3258,0
680,3638,0
681,3146,0
682,3706,0
683,2674,0
684,2152,0
685,2134,0
686,2218,0
687,2412,0
688,2656,0
689,2224,0
690,3578,0
691,3833,0
692,2431,0
693,3757,0
694,2745,1
695,3294,0
696,2387,0
697,2276,1
698,2160,0
699,2851,0
700,2476,0
701,3486,0
702,2150,0
703,2994,0
704,2677,0
705,2060,0
706,2589,0
707,2679,0
708,3598,0
709,3115,0
710,2874,0
711,3013,0
712,2405,0
713,3288,0
714,2963,0
715,2551,0
716,3193,0
717,3428,1
718,2302,0
719,2106,0
720,3030,0
721,3729,0
722,3388,0
723,3710,0
724,2862,1
725,3683,0
726,3264,0
727,3732,0
728,2089,1
729,3563,0
730,3645,0
731,2754,0
732,3422,1
733,3993,1
734,3019,0
735,2675,0
736,2535,0
737,2892,1
738,3347,0
739,2163,0
740,3547,0
741,3196,0
742,2248,0
743,2524,0
744,2306,0
745,3962,0
746,3837,0
747,3742,0
748,2929,0
749,2389,0
750,3141,0
751,2483,0
752,3995,0
753,2737,1
754,3611,0
755,2788,0
756,3326,0
757,2530,0
758,2270,0
759,3803,0
760,2403,0
761,3561,0
762,2408,1
763,3137,0
764,3995,0
765,3461,0
766,2631,0
767,2990,0
768,2474,0
769,2576,0
770,3935,0
771,3199,0
772,2555,0
773,3919,0
774,3526,1
775,3976,1
776,2305,1
777,2505,0
778,2938,0
779,2800,0
780,3519,0
781,2908,0
782,3687,1
783,3508,0
784,3174,0
785,2650,0
786,2983,0
787,2156,0
788,3142,1
789,2988,0
790,2882,0
791,2659,0
792,3716,0
793,2004,0
794,3037,0
795,3794,0
796,2437,0
797,2270,0
798,2358,0
799,3103,0
800,2412,1
801,2590,0
802,3176,0
803,3495,1
804,3353,1
805,3269,0
806,2103,0
807,3071,0
808,3108,1
809,2272,0
810,3122,0
811,2978,0
812,2475,0
813,3674,0
814,2077,0
815,2161,0
816,3788,0
817,3109,0
818,2191,0
819,3071,0
820,3810,0
821,3159,0
822,2176,0
823,3091,1
824,3703,0
825,3002,0
826,2614,0
827,2617,0
828,3565,0
829,2217,0
830,2918,0
831,3811,1
832,2435,0
833,2041,0
834,2976,0
835,2620,0
836,3243,0
837,3980,0
